"id","categoryId","categoryName","sku","name","description","price","tags"
"027D0B9A-F9D9-4C96-8213-C8546C4AAE71","26C74104-40BC-4541-8EF5-9892F7F03D72","Components, Saddles","SE-R581","LL Road Seat/Saddle","The product called ""LL Road Seat/Saddle""",27.12,"[{'id':'0573D684-9140-4DEE-89AF-4E4A90E65666','name':'Tag-113'},{'id':'6C2F05C8-1E61-4912-BE1A-C67A378429BB','name':'Tag-5'},{'id':'B48D6572-67EB-4630-A1DB-AFD4AD7041C9','name':'Tag-100'},{'id':'D70F215D-A8AC-483A-9ABD-4A008D2B72B2','name':'Tag-85'},{'id':'DCF66D9A-E2BF-4C70-8AC1-AD55E5988E9D','name':'Tag-37'}]"
"08225A9E-F2B3-4FA3-AB08-8C70ADD6C3C2","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T79U-50","Touring-1000 Blue, 50","The product called ""Touring-1000 Blue, 50""",2384.07,"[{'id':'27B7F8D5-1009-45B8-88F5-41008A0F0393','name':'Tag-61'}]"
"0A7E57DA-C73F-467F-954F-17B7AFD6227E","4F34E180-384D-42FC-AC10-FEC30227577F","Components, Pedals","PD-R563","ML Road Pedal","The product called ""ML Road Pedal""",62.09,"[{'id':'14CFF1D6-7749-4A57-85B3-783F47731F32','name':'Tag-7'},{'id':'319E277F-6B7A-483D-81BA-1EC34CC700EB','name':'Tag-163'}]"
"14174164-F6C0-47FC-83FB-604C6A63408D","006A1D51-28DA-4956-A7FB-C0B2BF6360CA","Accessories, Bottles and Cages","BC-M005","Mountain Bottle Cage","The product called ""Mountain Bottle Cage""",9.99,"[{'id':'A49D83E4-E506-4301-8110-E114599B4A35','name':'Tag-27'},{'id':'CA7D17BB-45A6-47E6-A3E3-E70AF34C2072','name':'Tag-158'},{'id':'ECBBCC15-3016-4075-B084-4B49DA754814','name':'Tag-138'}]"
"1A176FDB-D9A8-4888-BDD9-CE4F12E97AAE","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TI-R982","HL Road Tire","The product called ""HL Road Tire""",32.6,"[{'id':'51CD93BF-098C-4C25-9829-4AD42046D038','name':'Tag-25'},{'id':'5D24B427-1402-49DE-B79B-5A7013579FBC','name':'Tag-76'},{'id':'8AAFD985-8BCE-4FA8-85A2-2CA67D9DF8E6','name':'Tag-172'},{'id':'D4EC9C09-75F3-4ADD-A6EB-ACDD12C648FA','name':'Tag-153'}]"
"201D0D79-81AD-43D2-AD6E-F09EEE6AC2D7","26C74104-40BC-4541-8EF5-9892F7F03D72","Components, Saddles","SE-M798","ML Mountain Seat/Saddle","The product called ""ML Mountain Seat/Saddle""",39.14,"[{'id':'0917B02C-1EAB-4EBA-BA74-5E6D3C5CC96A','name':'Tag-192'},{'id':'0C184C69-F4F2-4774-9645-46F53D297D95','name':'Tag-49'},{'id':'3A3A99B6-E3BF-46D0-BAD9-F5F4DBB720F4','name':'Tag-70'},{'id':'DAC25651-3DD3-4483-8FD1-581DC41EF34B','name':'Tag-56'}]"
"24BE4267-85D8-4C1A-B184-C08709495752","006A1D51-28DA-4956-A7FB-C0B2BF6360CA","Accessories, Bottles and Cages","BC-R205","Road Bottle Cage","The product called ""Road Bottle Cage""",8.99,"[{'id':'45CBB7FF-FA48-49D8-89EF-F1D0B8AC3923','name':'Tag-86'},{'id':'9653F306-0B3C-4856-ABF8-13C3F04AE4F0','name':'Tag-36'},{'id':'A9834752-41CA-47F5-8A5A-D9A878DF0ACB','name':'Tag-198'}]"
"290B4594-95BE-47C5-863A-4EFAAFC0AED7","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TI-M602","ML Mountain Tire","The product called ""ML Mountain Tire""",29.99,"[{'id':'0917B02C-1EAB-4EBA-BA74-5E6D3C5CC96A','name':'Tag-192'},{'id':'14D5A3F0-7B6D-4D2D-9D45-AC2E35F90298','name':'Tag-166'},{'id':'31BDDC90-386A-4EED-A588-751DA0587A0A','name':'Tag-95'},{'id':'59676183-1BD7-48A0-B3B0-42B3C0800EB0','name':'Tag-64'},{'id':'9C89E562-1247-435D-B786-4E54024E681C','name':'Tag-128'}]"
"29663491-D2E9-47B4-83AE-D9459B6B5B67","86F3CBAB-97A7-4D01-BABB-ADEFFFAED6B4","Accessories, Tires and Tubes","TT-T092","Touring Tire Tube","The product called ""Touring Tire Tube""",4.99,"[{'id':'14D5A3F0-7B6D-4D2D-9D45-AC2E35F90298','name':'Tag-166'},{'id':'539DF8CA-7DCD-43BC-9F4A-1F6657B61708','name':'Tag-53'},{'id':'74680691-FA4C-4721-9CB4-5846B7C3210A','name':'Tag-103'},{'id':'94F41BAD-B861-4BB0-A941-89677D04F455','name':'Tag-26'}]"
"2C981511-AC73-4A65-9DA3-A0577E386394","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T79U-46","Touring-1000 Blue, 46","The product called ""Touring-1000 Blue, 46""",2384.07,"[{'id':'4E102F3F-7D57-4CD7-88F4-AC5076A42C59','name':'Tag-91'},{'id':'52FCE975-91EE-4789-9E36-94EC766F02A0','name':'Tag-35'},{'id':'7B37373F-FC14-44FD-96AA-32F4854E0B6B','name':'Tag-63'},{'id':'83D720BA-BB31-4BE5-B723-8A836AB6D532','name':'Tag-127'},{'id':'DA661FCF-CC7F-4AF9-A9E2-8E7A5570844E','name':'Tag-188'}]"
"3F105575-8677-42F9-8E1F-76E4B450F136","75BF1ACB-168D-469C-9AA3-1FD26BB4EA4C","Bikes, Touring Bikes","BK-T79Y-46","Touring-1000 Yellow, 46","The product called ""Touring-1000 Yellow, 46""",2384.07,"[{'id':'84C396AD-98C6-4B12-8C3A-1BDA3ABF7D73','name':'Tag-24'},{'id':'B1C00DC4-236A-4A5F-844C-3F56BBE87968','name':'Tag-167'}]"
