Transaction ID,Date,Store ID,Store Name,Product ID,Product Name,Quantity Sold,Unit Price,Total Sales ($)
T765239,2024-04-27,1144,NEW IN TOWN,2003,Puma Running Shoes,3,149,447
T393833,2024-11-09,1144,NEW IN TOWN,2003,Puma Running Shoes,3,149,447
T283297,2024-11-10,1144,NEW IN TOWN,2001,Nike Air Max 90,4,189,756
T409460,2024-07-20,1144,NEW IN TOWN,2001,Nike Air Max 90,1,189,189
T366070,2024-03-02,1144,NEW IN TOWN,1004,Dyson V15 Vacuum Cleaner,4,899,3596
T803046,2024-09-22,1144,NEW IN TOWN,1002,Samsung Galaxy S23,1,1199,1199
T468614,2024-08-15,1144,NEW IN TOWN,1002,Samsung Galaxy S23,2,1199,2398
T840540,2024-11-18,1144,NEW IN TOWN,2004,Skechers Memory Foam Sneakers,1,129,129
T771038,2024-08-27,1144,NEW IN TOWN,2001,Nike Air Max 90,5,189,945
T348575,2024-08-25,1144,NEW IN TOWN,1001,Apple iPhone 15,1,1299,1299
T794258,2024-02-17,1144,NEW IN TOWN,2001,Nike Air Max 90,1,189,189
T383597,2024-05-30,1144,NEW IN TOWN,2002,Adidas Ultraboost,1,199,199
T663879,2024-08-29,1144,NEW IN TOWN,1002,Samsung Galaxy S23,2,1199,2398
T416886,2024-06-19,1144,NEW IN TOWN,1002,Samsung Galaxy S23,1,1199,1199
T938892,2024-08-10,1144,NEW IN TOWN,2002,Adidas Ultraboost,4,199,796
T819934,2024-10-04,1144,NEW IN TOWN,1003,Sony WH-1000XM5 Headphones,4,499,1996
T664315,2024-05-28,1144,NEW IN TOWN,2002,Adidas Ultraboost,4,199,796
T390147,2024-09-24,1144,NEW IN TOWN,1004,Dyson V15 Vacuum Cleaner,2,899,1798
T798235,2024-04-11,1144,NEW IN TOWN,1001,Apple iPhone 15,3,1299,3897
T493759,2024-12-05,1144,NEW IN TOWN,2004,Skechers Memory Foam Sneakers,4,129,516
T173550,2024-03-08,1144,NEW IN TOWN,2001,Nike Air Max 90,3,189,567
T824249,2024-01-14,1144,NEW IN TOWN,1001,Apple iPhone 15,1,1299,1299
T364100,2024-04-14,1144,NEW IN TOWN,1001,Apple iPhone 15,5,1299,6495
T197175,2024-04-13,1144,NEW IN TOWN,1001,Apple iPhone 15,4,1299,5196
T661058,2024-11-25,1144,NEW IN TOWN,1001,Apple iPhone 15,1,1299,1299
T961998,2024-03-02,1144,NEW IN TOWN,2003,Puma Running Shoes,5,149,745
T524315,2024-02-26,1144,NEW IN TOWN,1003,Sony WH-1000XM5 Headphones,5,499,2495
T634803,2024-08-21,1144,NEW IN TOWN,1002,Samsung Galaxy S23,5,1199,5995
T440914,2024-09-13,1144,NEW IN TOWN,1002,Samsung Galaxy S23,1,1199,1199
T120140,2024-03-18,1144,NEW IN TOWN,2004,Skechers Memory Foam Sneakers,1,129,129
T465830,2024-09-09,1144,NEW IN TOWN,2001,Nike Air Max 90,5,189,945
T610967,2024-03-24,1144,NEW IN TOWN,2001,Nike Air Max 90,1,189,189
T309145,2024-02-09,1144,NEW IN TOWN,2003,Puma Running Shoes,3,149,447
